DATE;NTOT;NLOW;WDIR;WSPD;WMAX;PP;T;WVP;HUM;PST;PSEA
1961-08-03;3;2.3;1.7;15;M;0;21.1;15.7;M;1017.933333;M
1961-08-04;8.3;7.6;2;105;M;0.9;20.8;18.3;M;1014.533333;M
1961-08-05;8.9;8.6;3.7;278;M;0;18;16;M;1010.2;M
1961-08-06;5.7;4.9;3;315;M;0;17.4;14;M;1012.2;M
1961-08-07;4.6;4;1;135;M;0;20.1;16.4;M;1015;M
1961-08-08;7.2;6.5;6;240;M;15.1;19.5;17.6;M;1010.266667;M
1961-08-09;6.3;4.9;5.3;293;M;0;17.7;12.3;M;1015;M
1961-08-10;1.3;1.3;2.7;315;M;0;18.3;13.5;M;1019.233333;M
1961-08-11;8.9;8.6;1.3;233;M;12.1;16.4;16.1;M;1016.166667;M
1961-08-12;9.8;9.8;1.3;240;M;15;16.2;14.7;M;1010.966667;M
1961-08-13;9.9;9.9;1;203;M;0.1;15.7;14.6;M;1012.633333;M
1961-08-14;5.6;4.9;4;308;M;1.1;16.5;13.2;M;1012.333333;M
1961-08-15;6.9;6.5;1.3;82;M;0;15.9;13.1;M;1014.3;M
1961-08-16;7.9;7.6;2;127;M;0;16.3;13.4;M;1012.533333;M
1961-08-17;9.8;9.8;4;113;M;0;17.3;13.9;M;1009.2;M
1961-08-18;7.9;7.6;5;120;M;5.5;19.2;16;M;1002.066667;M
1961-08-19;9.8;9.8;7;120;M;4.8;13.6;13.4;M;989.9666667;M
1961-08-20;9.2;8.6;6;0;M;4.6;13.9;12.8;M;999.3666667;M
1961-08-21;7.5;7.5;6.3;135;M;0;12.9;12.3;M;1000.066667;M
1961-08-22;7.6;7.6;5;165;M;0.3;13.6;14.2;M;1005.466667;M
1961-08-23;8.5;8.5;4.7;59;M;0;17.6;15.7;M;1006.066667;M
1961-08-24;9.9;9.9;1.3;173;M;11.8;14.4;16.4;M;1004.7;M
1961-08-25;9.9;9.9;5;308;M;26.2;11.7;13.4;M;1001.233333;M
1961-08-26;9.8;9.8;4;263;M;1.5;11.6;11.7;M;1004.366667;M
1961-08-27;9.9;9.9;7.3;293;M;12.6;11.3;13.4;M;1004.433333;M
1961-08-28;6;4.9;5;270;M;4.6;12.9;12.9;M;1009.333333;M
1961-08-29;8.9;8.6;3.3;308;M;0.3;12.8;12.3;M;1007.6;M
1961-08-30;9.8;9.8;4.3;338;M;1.5;10.8;11.3;M;1014.033333;M
1961-08-31;6.9;6.5;3.3;330;M;0;9.2;8.7;M;1019.533333;M
1961-09-01;3.3;2.4;1.7;97;M;0;13.2;11.9;M;1021.633333;M
1961-09-02;4.3;3;3.7;172;M;0;17.2;15.7;M;1014.266667;M
1961-09-03;3;2.4;3;255;M;0;16.2;15.4;M;1009.033333;M
1961-09-04;6.6;6.6;3.7;300;M;0.7;13.2;11.9;M;1004.366667;M
1961-09-05;4.3;3;4.7;278;M;0;8.3;8;M;1011.966667;M
1961-09-06;6.3;5.6;1.7;203;M;0;8.3;7.8;M;1020.633333;M
1961-09-07;9.9;9.9;5.3;128;M;5;7.1;9.8;M;1011.866667;M
1961-09-08;8.3;7.7;2.3;142;M;6.2;9.8;11.8;M;1004.5;M
1961-09-09;9.8;9.8;5;255;M;7.5;10;10.7;M;995.4;M
1961-09-10;5.9;5.6;5.7;285;M;0.3;7.9;8.1;M;1002;M
1961-09-11;6.9;6.6;1.7;293;M;4.9;6.3;8.5;M;1006.9;M
1961-09-12;9.6;9.6;3.3;203;M;0;7.9;10;M;1013.333333;M
1961-09-13;9.6;9.6;4.7;150;M;1.3;12;12.6;M;1009.4;M
1961-09-14;9.8;9.8;3.3;293;M;2.1;10.4;11.4;M;1012.233333;M
1961-09-15;5.3;4;1.3;83;M;0;7.5;8.1;M;1015.766667;M
1961-09-16;9.8;9.8;1.3;150;M;0;9.6;10.1;M;1015.766667;M
1961-09-17;5.9;5.6;4;210;M;0;12.8;10.3;M;1014.466667;M
1961-09-18;6.3;5.6;5;203;M;0;15.9;15.7;M;1010.5;M
1961-09-19;6.6;6.6;4.7;285;M;1.9;10.5;10.7;M;1005.666667;M
1961-09-20;9.9;9.9;6.7;360;M;0.6;7.5;8.5;M;1017.1;M
1961-09-21;3.3;2.4;5.7;248;M;0;5.5;6;M;1025.333333;M
1961-09-22;0;0;3.7;353;M;0;5;6;M;1030.033333;M
1961-09-23;5.7;5.6;0.7;218;M;0;7.8;7.9;M;1029.366667;M
1961-09-24;5.3;4;0.3;8;M;0;7.9;8.1;M;1028.8;M
1961-09-25;3.3;2.4;2;128;M;0;10.3;8.1;M;1027.4;M
1961-09-26;2;1.4;2.7;113;M;0;9.8;8.9;M;1021.766667;M
1961-09-27;7.6;7.6;0.7;98;M;0.3;10.5;10.1;M;1019.5;M
1961-09-28;9.7;9.7;0.8;0;M;0;6.7;8.9;M;1024.275;M
1961-09-29;6.6;6.6;1.7;30;M;0;9.5;11;M;1029.3;M
1961-09-30;9.9;9.9;2.7;98;M;0;9;10.4;M;1029.866667;M
1961-10-01;9.9;9.9;1;46;M;0;10.6;11.7;M;1031.15;M
1961-10-02;5;4.5;0;0;M;0;5.5;8.4;M;1033;M
1961-10-03;5.4;4.5;1;270;M;0;6.1;8.4;M;1033.45;M
1961-10-04;9.9;9.9;2.5;338;M;0;8.8;10.4;M;1031.3;M
1961-10-05;9.9;9.9;1;169;M;0;8.5;9.4;M;1032.85;M
1961-10-06;5;4.5;0;0;M;0;1.1;5.5;M;1036.55;M
1961-10-07;4.9;4.5;0.5;90;M;0;3.1;6.6;M;1034.05;M
1961-10-08;6.4;5.6;1;102;M;0;2.4;6.2;M;1032.25;M
1961-10-09;2;1.5;0;0;M;0;0.9;5.8;M;1032.45;M
1961-10-10;0;0;1.5;102;M;0;0.8;5.3;M;1034.85;M
1961-10-11;4.5;4.5;3.5;214;M;0;3.9;6.2;M;1033.4;M
1961-10-12;2;1.5;2.5;203;M;0;4.5;5.3;M;1027.9;M
1961-10-13;5;4.5;3;226;M;0;4.7;7.5;M;1020.3;M
1961-10-14;9.9;9.9;1.5;158;M;0;4.2;8;M;1015.5;M
1961-10-15;5;4.5;2;315;M;0;4;7.8;M;1010.2;M
1961-10-16;9.9;9.9;0.5;158;M;0;2.2;6;M;1010.75;M
1961-10-17;1.5;1.5;0.5;147;M;0;1.5;5.9;M;1016.3;M
