Daynum,Q_Moskva,Q_Lusyanka
62,3.07645161290323,0.721612903225806
63,2.77129032258064,0.64258064516129
64,2.56322580645161,0.593548387096774
65,2.36096774193548,0.550645161290323
66,2.26741935483871,0.523548387096774
67,2.16290322580645,0.490645161290323
68,2.15967741935484,0.5
69,2.21838709677419,0.501290322580645
70,2.21225806451613,0.491612903225806
71,2.34225806451613,0.525161290322581
72,2.38290322580645,0.52741935483871
73,2.41322580645161,0.559032258064516
74,2.6558064516129,0.599677419354839
75,2.94193548387097,0.644193548387097
76,3.47129032258065,0.770967741935484
77,4.17967741935484,0.929032258064516
78,5.03064516129032,1.22516129032258
79,5.59903225806452,1.49806451612903
80,5.89967741935484,1.66516129032258
81,6.28032258064516,1.74516129032258
82,7.33064516129032,2.27741935483871
83,8.87967741935484,2.46548387096774
84,9.56741935483871,2.57903225806452
85,9.93354838709677,2.67483870967742
86,10.2651612903226,3.39322580645161
87,11.998064516129,4.80354838709677
88,14.6312903225806,4.4941935483871
89,16.2812903225806,5.35741935483871
90,19.6516129032258,6.81677419354839
91,25.2938709677419,8.75774193548387
92,30.4893548387097,9.04774193548387
93,33.3522580645161,8.12322580645161
94,33.0654838709677,8.13129032258064
95,35.3,9.19935483870968
96,34.3967741935484,8.48161290322581
97,33.0503225806452,8.78645161290323
98,39.0474193548387,11.0848387096774
99,44.2606451612903,10.2741935483871
100,43.8429032258065,9.24193548387097
101,43.0864516129032,9.23516129032258
102,40.8974193548387,8.91870967741935
103,36.9948387096774,7.98387096774194
104,35.0561290322581,8.08290322580645
105,34.6054838709677,7.63354838709677
106,34.311935483871,7.96774193548387
107,32.9774193548387,6.93612903225806
108,30.6477419354839,6.54548387096774
109,29.7722580645161,6.08322580645161
110,30.3029032258064,6.36451612903226
111,30.4512903225806,6.56387096774194
112,29.6222580645161,6.10129032258065
113,25.7041935483871,5.37032258064516
114,23.3209677419355,4.69354838709677
115,22.4870967741935,4.73451612903226
116,20.09,4.18129032258065
117,17.7606451612903,3.54064516129032
118,15.3993548387097,2.94193548387097
119,13.4322580645161,2.71064516129032
120,13.5077419354839,2.95225806451613
121,13.2525806451613,2.78129032258065
122,11.6832258064516,2.3758064516129
123,10.5164516129032,2.13903225806452
124,9.93322580645161,1.9858064516129
125,9.19806451612903,1.72258064516129
126,8.08741935483871,1.61225806451613
127,7.4058064516129,1.42483870967742
128,6.63870967741935,1.3058064516129
129,9.52903225806452,2.28387096774194
130,12.4325806451613,3.30322580645161
131,13.1906451612903,2.41806451612903
132,10.3477419354839,1.4641935483871
133,7.31354838709677,1.75709677419355
134,5.7941935483871,1.09645161290323
135,5.41096774193548,1.11774193548387
136,5.23645161290323,1.03774193548387
137,5.16032258064516,0.994838709677419
138,5.97774193548387,1.49354838709677
139,5.70354838709677,1.15225806451613
140,6.48258064516129,1.26032258064516
141,6.30774193548387,1.29451612903226
142,5.42806451612903,1.04741935483871
143,4.65225806451613,0.923225806451613
144,4.66870967741936,0.799354838709677
145,5.10870967741935,1.33161290322581
146,4.58,1.0258064516129
147,3.88451612903226,0.711935483870968
148,3.78709677419355,0.810322580645161
149,3.50548387096774,0.698064516129032
150,3.33161290322581,0.621290322580645
151,3.32612903225806,0.65741935483871
152,3.3758064516129,0.669354838709677
153,3.24354838709677,0.600645161290323
154,2.82903225806452,0.549032258064516
155,3.47548387096774,0.610645161290323
156,3.79064516129032,0.743225806451613
157,3.98193548387097,1.23870967741935
158,3.97064516129032,1.1541935483871
159,3.36032258064516,0.647096774193548
160,2.95096774193548,0.512903225806452
161,2.89032258064516,0.610967741935484
162,3.30645161290323,2.21032258064516
163,3.6141935483871,1.30064516129032
164,3.13225806451613,0.768387096774194
165,3.23645161290323,0.728387096774194
166,2.84064516129032,0.590967741935484
167,2.71451612903226,0.574516129032258
168,2.60774193548387,0.480322580645161
169,2.86870967741935,0.646774193548387
170,3.34516129032258,0.64741935483871
171,3.36129032258065,0.753870967741936
172,3.39,0.92741935483871
173,3.29548387096774,0.882903225806452
174,2.70483870967742,0.604516129032258
175,2.57096774193548,0.711935483870968
176,2.36387096774194,0.533225806451613
177,2.08258064516129,0.453548387096774
178,1.92677419354839,0.361290322580645
179,2.70677419354839,0.373225806451613
180,2.06741935483871,0.33
181,2.02322580645161,0.431935483870968
182,2.52451612903226,0.655161290322581
183,2.94096774193548,0.725806451612903
184,3.07483870967742,0.528064516129032
185,2.60935483870968,0.419354838709677
186,2.26483870967742,0.360322580645161
187,2.41548387096774,0.454193548387097
188,3.21225806451613,0.76741935483871
189,3.14387096774194,0.891290322580645
190,2.91,0.655483870967742
191,2.62290322580645,0.693870967741935
192,4.33354838709677,1.16
193,4.10741935483871,1.10096774193548
194,3.59387096774194,0.843548387096774
195,3.5758064516129,0.684193548387097
196,3.88290322580645,0.874838709677419
197,4.34032258064516,1.28258064516129
198,3.82064516129032,0.899032258064516
199,3.30806451612903,0.616129032258064
200,3.2441935483871,0.699354838709677
201,8.90161290322581,2.12451612903226
202,10.7793548387097,1.68387096774194
203,5.34838709677419,0.624193548387097
204,3.51225806451613,0.486774193548387
205,2.74064516129032,0.469677419354839
206,2.64451612903226,0.499677419354839
207,2.73258064516129,0.609354838709677
208,2.69709677419355,0.645483870967742
209,2.51935483870968,0.557096774193548
210,2.16290322580645,0.42741935483871
211,2.06870967741935,0.473870967741935
212,2.22741935483871,0.496774193548387
213,2.61193548387097,0.46741935483871
214,3.04225806451613,0.629032258064516
215,2.80096774193548,0.534516129032258
216,3.29677419354839,0.720645161290323
217,3.28709677419355,0.552258064516129
218,2.76225806451613,0.531290322580645
219,2.34548387096774,0.483225806451613
220,2.1341935483871,0.438064516129032
221,2.24838709677419,0.419032258064516
222,2.12451612903226,0.377096774193548
223,2.04322580645161,0.360967741935484
224,2.1958064516129,0.645161290322581
225,4.18516129032258,1.2358064516129
226,3.72516129032258,0.583225806451613
227,2.70225806451613,0.373870967741935
228,2.02935483870968,0.365806451612903
229,1.73806451612903,0.340967741935484
230,2.04774193548387,0.71258064516129
231,2.26451612903226,0.649354838709677
232,1.98516129032258,0.398709677419355
233,1.91387096774194,0.505483870967742
234,2.07774193548387,0.482903225806452
235,2.03032258064516,0.406774193548387
